288100ACS	1-ethyl-nicotinic acid	1--ethyl-nicotinic acid 37.5mg
348900BIJ	lactic acid	lactic acid 2.6g/1ℓ
180401ACH	"lactic acid bacteriae,antibiotics resistant"	"lactic acid bacteriae,antibiotics resistant 400mg"
411801APD	lactitol	lactitol 1g
180503AGN	lactobacillus acidophillus	lactobacillus acidophillus 75mg
180602ATB	lactobacillus acidophillus tyndalized	lactobacillus acidophillus tyndalized 464mg
180801ASY	lactulose cone.	lactulose cone. 1.34g
181301ATE	lansoprazole	lansoprazole 30mg
181301ATE	lansoprazole	lansoprazole 30mg
181301ACE	lansoprazole	lansoprazole 30mg
181301ATE	lansoprazole	lansoprazole 30mg
181603ATB	lecithin iodide	lecithin iodide 750㎍
181901BIJ	lentinan	lentinan 1mg
182503ATB	leucovorin calcium	leucovorin calcium 5.4mg
182506BIJ	leucovorin calcium	leucovorin calcium 3mg
182504BIJ	leucovorin calcium	leucovorin calcium 15mg
182505BIJ	leucovorin calcium	leucovorin calcium 30mg
182507BIJ	leucovorin calcium	leucovorin calcium 50mg
182502BIJ	leucovorin calcium	leucovorin calcium 100mg
182603BIJ	leuprolide acetate	leuprolide acetate 5mg
182701ATB	levamisole HCl	levamisole HCl 59mg
182801COS	levobunolol HCl	levobunolol HCl 5mg
256000ACH	levodopa	levodopa 100mg
256200ATB	levodopa	levodopa 200mg
256300ATB	levodopa	levodopa 100mg
256400ATB	levodopa	levodopa 250mg
183102ATB	levodropropizine	levodropropizine 60mg
183101ASY	levodropropizine	levodropropizine 6mg
183201ATB	levofloxacin	levofloxacin 100mg
183607ATB	levothyroxine sodium	levothyroxine sodium 25㎍
183608ATB	levothyroxine sodium	levothyroxine sodium 50㎍
183602ATB	levothyroxine sodium	levothyroxine sodium 75㎍
183603ATB	levothyroxine sodium	levothyroxine sodium 125㎍
183604ATB	levothyroxine sodium	levothyroxine sodium 150㎍
183605ATB	levothyroxine sodium	levothyroxine sodium 175㎍
183606ATB	levothyroxine sodium	levothyroxine sodium 200㎍
183803BIJ	lidocaine	lidocaine 12.981mg
372100BIJ	lidocaine	lidocaine 100mg
183802CPL	lidocaine	lidocaine 18mg
183801CSI	lidocaine	lidocaine 0.1g
183901BIJ	lidocaine HCl	lidocaine HCl 10mg
183907BIJ	lidocaine HCl	lidocaine HCl 40mg
183903BIJ	lidocaine HCl	lidocaine HCl 200mg
183906BIJ	lidocaine HCl	lidocaine HCl 400mg
314300BIJ	lidocaine HCl	lidocaine HCl 36mg
314500BIJ	lidocaine HCl	lidocaine HCl 36mg
183902CLQ	lidocaine HCl	lidocaine HCl 20mg
446200BIJ	lidocaine HCl	lidocaine HCl 0.4g
445800BIJ	lidocaine HCl	lidocaine HCl 0.4g
446100BIJ	lidocaine HCl	lidocaine HCl 0.8g
445900BIJ	lidocaine HCl	lidocaine HCl 0.8g
446900BIJ	lidocaine HCl	lidocaine HCl 1.6g
427500BIJ	lidocaine HCl	lidocaine HCl 1g
421300BIJ	lidocaine HCl	lidocaine HCl 2g
427600BIJ	lidocaine HCl	lidocaine HCl 2g
421400BIJ	lidocaine HCl	lidocaine HCl 4g
337100CCM	lidocaine HCl	lidocaine HCl 20mg
184204BIJ	lincomycin HCl	lincomycin HCl 300mg
184206BIJ	lincomycin HCl	lincomycin HCl 600mg
184202BIJ	lincomycin HCl	lincomycin HCl 1.5g
184205BIJ	lincomycin HCl	lincomycin HCl 3g
287800AGN	lipase AP6	lipase AP6 15mg
396500ASY	liriope tuber fluid ext.	liriope tuber fluid ext. 0.04ml
318100BIJ	liver ext.	liver ext. 15㎕
184903ATB	lomefloxacin HCl	lomefloxacin HCl 400mg
185101ASY	loperamide HCl	loperamide HCl 200㎍
185102ACH	loperamide HCl	loperamide HCl 2mg
185102ATB	loperamide HCl	loperamide HCl 2mg
185401ATB	loratadine	loratadine 10mg
185502BIJ	lorazepam	lorazepam 4mg
185701ATB	losartan potassium	losartan potassium 50mg
262500ATB	losartan potassium	losartan potassium 50mg
378900ATB	losartan potassium	losartan potassium 100mg
186001ACH	loxapine	loxapine 10mg
186101ATB	loxoprofen sodium	loxoprofen sodium 60mg
266700ACH	lysozyme chloride	lysozyme chloride 20mg
186804ACH	lysozyme chloride	lysozyme chloride 90mg
186804ATB	lysozyme chloride	lysozyme chloride 90mg
396100ALQ	lysozyme Cl	lysozyme Cl 1mg
396000ALQ	lysozyme Cl	lysozyme Cl 2mg
370300BIJ	macroaggregated human serum albumin	macroaggregated human serum albumin 0.2mg
383100BIJ	macroaggregated human serum albumin	macroaggregated human serum albumin 1.19mg
383000BIJ	macroaggregated human serum albumin	macroaggregated human serum albumin 2.375mg
369802BIJ	macroagreggated human serum albumin	macroagreggated human serum albumin 10mg
186901CCM	mafenide acetate	mafenide acetate 112mg
430001ATB	magaldrate	magaldrate 0.8g
317500BIJ	magnesium acetate	magnesium acetate 1230mg
455000BIJ	magnesium acetate	magnesium acetate 2460mg
317600BIJ	magnesium acetate	magnesium acetate 1230mg
317700BIJ	magnesium acetate	magnesium acetate 860mg
455100BIJ	magnesium acetate	magnesium acetate 1720mg
454900BIJ	magnesium acetate	magnesium acetate 2460mg
312200ASS	magnesium carbonate	magnesium carbonate 10.75g
428900BIJ	magnesium chloride	magnesium chloride 1.02g
320000BIJ	magnesium chloride	magnesium chloride 15g/500ml
349000BIJ	magnesium chloride	magnesium chloride 30g/1ℓ
321000BIJ	magnesium chloride	magnesium chloride 508mg/20ml
362700BIJ	magnesium chloride	magnesium chloride 508mg/30ml
400000BIJ	magnesium chloride	magnesium chloride 51mg/500ml
449500BIS	magnesium chloride	magnesium chloride 6H2O 910mg/500ml
321100BIS	magnesium chloride	magnesium chloride 35.6g/10ℓ
321200BIS	magnesium chloride	magnesium chloride 35.6g/10ℓ
321300BIS	magnesium chloride	magnesium chloride 35.6g/10ℓ
449400BIS	magnesium chloride	magnesium chloride 6H2O 910mg/500ml
321600BIS	magnesium chloride	magnesium chloride 101.6mg/2ℓ
450500BIS	magnesium chloride	magnesium chloride 760mg/5ℓ
322600BIS	magnesium chloride	magnesium chloride 26.5g/5ℓ
322900BIS	magnesium chloride	magnesium chloride 35.6g/10ℓ
366600BIS	magnesium chloride	magnesium chloride 0.108g/2ℓ
359800BIS	magnesium chloride	magnesium chloride 760mg/5ℓ
359900BIS	magnesium chloride	magnesium chloride 760mg/5ℓ
380900BIS	magnesium chloride	magnesium chloride 0.27g/5l
400700BIS	magnesium chloride	magnesium chloride 17.8g/5ℓ
373600BIS	magnesium chloride	magnesium chloride 53.4g/10ℓ
450600BIS	magnesium chloride	magnesium chloride 760mg/5ℓ
450700BIS	magnesium chloride	magnesium chloride 760mg/5ℓ
323100BIS	magnesium chloride	magnesium chloride 106g/20ℓ
323600BIS	magnesium chloride	magnesium chloride 71.2g/20ℓ
323900BIS	magnesium chloride	magnesium chloride 106.8g/20ℓ
450900BIS	magnesium chloride	magnesium chloride 6H2O 0.2541g
464200BIS	magnesium chloride	magnesium chloride 6H2O 0.30495g
324300BIS	magnesium chloride	magnesium chloride 76.5mg/1.5ℓ
324400BIS	magnesium chloride	magnesium chloride 76.5mg/1.5ℓ
324500BIS	magnesium chloride	magnesium chloride 76.5mg/1.5ℓ
350600BIS	magnesium chloride	magnesium chloride 102mg/2ℓ
350700BIS	magnesium chloride	magnesium chloride 102mg/2ℓ
350900BIS	magnesium chloride	magnesium chloride 102mg/2ℓ
351000BIS	magnesium chloride	magnesium chloride 102mg/2ℓ
351200BIS	magnesium chloride	magnesium chloride 102mg/2ℓ
351300BIS	magnesium chloride	magnesium chloride 102mg/2ℓ
352500BIS	magnesium chloride	magnesium chloride 102mg/2ℓ
352900BIS	magnesium chloride	magnesium chloride 102mg/2ℓ
350800BIS	magnesium chloride	magnesium chloride 255mg/5ℓ
351100BIS	magnesium chloride	magnesium chloride 255mg/5ℓ
351400BIS	magnesium chloride	magnesium chloride 255mg/5ℓ
353100BIS	magnesium chloride	magnesium chloride 255mg/5ℓ
464100BIS	magnesium chloride	magnesium chloride 6H2O 0.2541g
463800BIS	magnesium chloride	magnesium chloride 6H2O 0.2541g
464400BIS	magnesium chloride	magnesium chloride 6H2O 0.30495g
464300BIS	magnesium chloride	magnesium chloride 6H2O 0.30495g
355000CIS	magnesium chloride	magnesium chloride 60mg
355100CIS	magnesium chloride	magnesium chloride 75mg
355200CIS	magnesium chloride	magnesium chloride 150mg
187401ATB	magnesium hydroxide	magnesium hydroxide 300mg
187402ATB	magnesium hydroxide	magnesium hydroxide 500mg
303600ATB	magnesium lactate	magnesium lactate 470mg
187501ACH	magnesium oxide	magnesium oxide 250mg
187502ATB	magnesium oxide	magnesium oxide 500mg
187602BIJ	magnesium sulfate	magnesium sulfate 2g
187601BIJ	magnesium sulfate	magnesium sulfate 10g
187701ATB	malotilate	malotilate 100mg
187801BIJ	maltose	maltose 50g/500ml
187901BIJ	mamushi antivenom equine iyophilized	mamushi antivenom equine iyophilized 6000I.U
320800BIJ	manganese sulfate	manganese sulfate 15.4mg/10ml
362600BIJ	manganese sulfate	manganese sulfate 15.4mg/30ml
188003ATB	manidipine HCl	manidipine HCl 5mg
372603ASY	mebendazol	mebendazol 20mg
188201ATB	mebeverine HCl	mebeverine HCl 100mg
361600CLQ	mecetronium ethylsulfate	mecetronium ethylsulfate 2mg
188402ACH	meclofenamate sodium	meclofenamate sodium 50mg
188401ACH	meclofenamate sodium	meclofenamate sodium 100mg
188601ACH	mecobalamin	mecobalamin 250㎍
188602BIJ	mecobalamin	mecobalamin 500㎍
188805BIJ	medronic acid	medronic acid 10mg
188802BIJ	medronic acid	medronic acid 5mg
188801BIJ	medronic acid	medronic acid 7.5mg
188804BIJ	medronic acid	medronic acid 10.8mg
297600ATB	medroxyprogesterone acetate	medroxyprogesterone acetate 10mg/1정
188901ATB	medroxyprogesterone acetate	medroxyprogesterone acetate 100mg
188902BIJ	medroxyprogesterone acetate	medroxyprogesterone acetate 150mg
189001ATB	mefenamic acid	mefenamic acid 250mg
189003ATB	mefenamic acid	mefenamic acid 500mg
189402BIJ	meglumine amidotrizoate	meglumine amidotrizoate 650mg
189501BIJ	meglumine iothalanic	meglumine iothalanic 600mg
315600BIJ	melilotus ext.	melilotus ext. 300mg
189601BIJ	melilotus ext.	melilotus ext. 100mg
189603BIJ	melilotus ext.	melilotus ext. 300mg
189801ATB	melperone HCl	melperone HCl 10mg
190002ASY	memantine HCl	memantine HCl 6.67mg
190202BIJ	menotrophin	menotrophin 75I.U
190202BIJ	menotrophin	menotrophin 75I.U
190201BIJ	menotrophin	menotrophin 150I.U
374201ATB	mepirizole	mepirizole 50mg
374202ATB	mepirizole	mepirizole 100mg
190401BIJ	mepivacain HCl	mepivacain HCl 400mg
190501ASY	mequitazine	mequitazine 500㎍
190502ATB	mequitazine	mequitazine 5mg
190801ATB	mesalazine	mesalazine 250mg
190805ATB	mesalazine	mesalazine 500mg
190806CLQ	mesalazine	mesalazine 2g
190904CSI	mesna	mesna 50mg/1ml
191501ATB	metformin HCl	metformin HCl 250mg
191701ATB	methazolamide	methazolamide 50mg
441601ATB	methenamine mandelate	methenamine mandelate 500mg
191901ATB	methionine	methionine 200mg
191902ATB	methionine	methionine 250mg
192001ATB	methocarbamol	methocarbamol 250mg
256800ATB	methocarbamol	methocarbamol 400mg
192003BIJ	methocarbamol	methocarbamol 500mg
192002BIJ	methocarbamol	methocarbamol 1g
192104BIJ	methotrexate	methotrexate 50mg
192103BIJ	methotrexate	methotrexate 500mg
192102BIJ	methotrexate	methotrexate 1g
192105BIJ	methotrexate	methotrexate 5g
192107ATB	methotrexate	methotrexate 10mg
192106BIJ	methotrexate	methotrexate 5mg
192104BIJ	methotrexate	methotrexate 50mg
192103BIJ	methotrexate	methotrexate 500mg
192102BIJ	methotrexate	methotrexate 1g
192105BIJ	methotrexate	methotrexate 5g
268300ACH	methoxyphenamine HCl	methoxyphenamine HCl 25mg
269000AGN	methoxyphenamine HCl	methoxyphenamine HCl 50mg
192701ATB	methyldopa	methyldopa 250mg
192802BIJ	methylene blue	methylene blue 50mg
390700BIJ	methylenediphosphonic acid	methylenediphosphonic acid 9.5mg
267700ASY	methylephedrine HCl	methylephedrine HCl 1.3125mg
268000ATB	methylephedrine HCl	methylephedrine HCl 17.5mg
192901ATB	methylergometrine maleate	methylergometrine maleate 125㎍
192902ATB	methylergometrine maleate	methylergometrine maleate 200㎍
193001BIJ	methylergonovine maleate	methylergonovine maleate 200㎍
193101ACH	methylol cephalexin lysinate	methylol cephalexin lysinate 500mg
193302ATB	methylprednisolone	methylprednisolone 4mg
193502BIJ	methylprednisolone acetate	methylprednisolone acetate 40mg
193501BIJ	methylprednisolone acetate	methylprednisolone acetate 200mg
193603BIJ	methylprednisolone sodium succinate	methylprednisolone sodium succinate 40mg
193601BIJ	methylprednisolone sodium succinate	methylprednisolone sodium succinate 125mg
193602BIJ	methylprednisolone sodium succinate	methylprednisolone sodium succinate 250mg
193604BIJ	methylprednisolone sodium succinate	methylprednisolone sodium succinate 500mg
295800ATB	metoclopramide HCl	metoclopramide HCl 6mg
193802ATB	metoprolol tartrate	metoprolol tartrate 100mg
193801BIJ	metoprolol tartrate	metoprolol tartrate 5mg
194103CCM	metronidazole	metronidazole 7.5mg
311000ATB	metronidazole	metronidazole 125mg
194104BIJ	metronidazole	metronidazole 500mg/100ml
194102BIJ	metronidazole	metronidazole 1.5g/300ml
417601CCM	metronidazole benzoate	metronidazole benzoate 120.6mg
194702ACS	microemulsion cyclosporine	microemulsion cyclosporine 25mg
194701ACS	microemulsion cyclosporine	microemulsion cyclosporine 100mg
194701ALQ	microemulsion cyclosporine	microemulsion cyclosporine 100mg
194901ACH	micronized fenofibrate	micronized fenofibrate 200mg
195103BIJ	micronomicin sulfate	micronomicin sulfate 60mg
195101BIJ	micronomicin sulfate	micronomicin sulfate 120mg
195102COS	micronomicin sulfate	micronomicin sulfate 3mg
195201BIJ	midazolam	midazolam 15mg
195203BIJ	midazolam	midazolam 50mg
195401ACH	midecamycin	midecamycin 200mg
195501ASY	midecamycin acetate	midecamycin acetate 200mg
195501ATB	midecamycin acetate	midecamycin acetate 200mg
251900ATB	misoprostol	misoprostol 200㎍
196301ATB	misoprostol	misoprostol 100㎍
196302ATB	misoprostol	misoprostol 200㎍
196402BIJ	mitomycin C	mitomycin C 2mg
196403BIJ	mitomycin C	mitomycin C 5mg
196401BIJ	mitomycin C	mitomycin C 10mg
196501BIJ	mitoxantrone HCl	mitoxantrone HCl 23.3mg
196702ATB	moclobemide	moclobemide 100mg
361302CCM	mometasone furoate	mometasone furoate 1mg
335600CLQ	monobasic sodium phosphate	monobasic sodium phosphate 160mg
312400ALQ	monobasic sodium phosphate	monobasic sodium phosphate 480mg
197201BIJ	morphine HCl	morphine HCl 10mg
197301BIJ	morphine sulfate	morphine sulfate 10mg
197305ATB	morphine sulfate	morphine sulfate 15mg
197302ATR	morphine sulfate	morphine sulfate 30mg
197304CSP	morphine sulfate	morphine sulfate 5mg
197301CSP	morphine sulfate	morphine sulfate 10mg
197302CSP	morphine sulfate	morphine sulfate 30mg
421003ATB	mosapride citrate	mosapride citrate 2.5mg
421002APD	mosapride citrate	mosapride citrate 10mg
197402BIJ	moxalactam sodium	moxalactam sodium 250mg
197403BIJ	moxalactam sodium	moxalactam sodium 500mg
197401BIJ	moxalactam sodium	moxalactam sodium 1g
197601COM	mupirocin	mupirocin 20mg
371101BIJ	N- iminodiacetic acid	N- iminodiacetic acid 30mg
451801BIJ	N-isopropyl-4-iodoamphetamine hydrochloride	N-isopropyl-4-iodoamphetamine hydrochloride 1mCi
198002BIJ	"n,n' n''-triethylenethiophosporamide"	"n,n' n''-triethylenethiophosporamide 10mg"
386401APD	"n,s-methyldiacetylcysteine"	"n,s-methyldiacetylcysteine 150mg"
427300ATB	nadolol	nadolol 40mg
427400ATB	nadolol	nadolol 80mg
198701CCM	naftifine HCl	naftifine HCl 10mg
198901BIJ	nalbuphine HCl	nalbuphine HCl 10mg
198902BIJ	nalbuphine HCl	nalbuphine HCl 20mg
198903BIJ	nalbuphine HCl	nalbuphine HCl 100mg
198904BIJ	nalbuphine HCl	nalbuphine HCl 200mg
199001ATB	nalidixic acid	nalidixic acid 500mg
199102BIJ	naloxone HCl	naloxone HCl 400㎍
199101BIJ	naloxone HCl	naloxone HCl 2mg
199103BIJ	naloxone HCl	naloxone HCl 5mg
199301BIJ	nandrolone decanoate	nandrolone decanoate 25mg
199402ATB	naproxen	naproxen 250mg
199402ATE	naproxen	naproxen 250mg
199403ATR	naproxen	naproxen 750mg
199501ATB	naproxen sodium	naproxen sodium 275mg
199501ACH	naproxen sodium	naproxen sodium 275mg
364601COS	natamycin	natamycin 50mg
200001BIJ	nefopam HCl	nefopam HCl 20mg
456700COS	neomycin sulfate	neomycin sulfate 680I.U
456700COS	neomycin sulfate	neomycin sulfate 680I.U
339300COM	neomycin sulfate	neomycin sulfate 5mg
414200CCM	neomycin sulfate	neomycin sulfate 3.5mg
200501BIJ	neostigmine methylsulfate	neostigmine methylsulfate 500㎍
200703BIJ	netilmicin sulfate	netilmicin sulfate 50mg
200701BIJ	netilmicin sulfate	netilmicin sulfate 100mg
200702BIJ	netilmicin sulfate	netilmicin sulfate 150mg
201002ATB	nicardipine HCl	nicardipine HCl 20mg
201201ATB	nicergoline	nicergoline 10mg
301600ATB	nicotin amide	nicotin amide 20mg
326800BIJ	nicotinamide ascorbate	nicotinamide ascorbate 100mg
415901ATB	nicoumalone	nicoumalone 1mg
415902ATB	nicoumalone	nicoumalone 4mg
201406ATR	nifedipine	nifedipine 50mg
201502ASS	nifuroxazide	nifuroxazide 44mg
201501ACH	nifuroxazide	nifuroxazide 200mg
201601ASS	nifurzide	nifurzide 8mg
201602ACH	nifurzide	nifurzide 150mg
201802ASY	nimesulide	nimesulide 10mg
202201ATB	niperotidine HCl	niperotidine HCl 230mg
202202ATB	niperotidine HCl	niperotidine HCl 460mg
202301ATB	nipradilol	nipradilol 3mg
202401ATB	nitrendifine	nitrendifine 10mg
202402ATB	nitrendifine	nitrendifine 20mg
202507BIJ	nitroglycerin	nitroglycerin 5mg
202501BIJ	nitroglycerin	nitroglycerin 10mg
202505BIJ	nitroglycerin	nitroglycerin 50mg
202509CPC	nitroglycerin	nitroglycerin 8mg
202506CPC	nitroglycerin	nitroglycerin 44.8mg
202601ATL	nitroglycerin diluted	nitroglycerin diluted 3mg
202704ATB	nizatidine	nizatidine 75mg
202701ACH	nizatidine	nizatidine 150mg
202703ACH	nizatidine	nizatidine 300mg
202801BIJ	nizophenone fumarate	nizophenone fumarate 5mg
203001ATB	nordazepam	nordazepam 5mg
203103BIJ	norepinephrine bitartrate	norepinephrine bitartrate 8mg
203104BIJ	norepinephrine bitartrate	norepinephrine bitartrate 40mg
336000CPC	norethistrone acetate	norethistrone acetate 30mg/1매
203302ACH	norfloxacin	norfloxacin 200mg
203302ATB	norfloxacin	norfloxacin 200mg
203303ATB	norfloxacin	norfloxacin 400mg
268300ACH	noscapine	noscapine 5mg
396200ATB	noscapine	noscapine 5mg
396300ATB	noscapine	noscapine 10mg
269000AGN	noscapine	noscapine 20mg
356600ACS	noscapine HCl	noscapine HCl 20mg
339300COM	nystatin	nystatin 100KI.U
203501COM	nystatin	nystatin 100KI.U
203502ATB	nystatin	nystatin 500KI.U
250901ATB	α-lipoic acid	α-lipoic acid 200mg
288100ACS	α-naphtylacetic acid	α-naphtylacetic acid 75mg
251001BIJ	β-aminomethl benzoic acid	β-aminomethl benzoic acid 50mg
434201CCM	β-escin	β-escin 15mg 15mg
251201ACS	γ-linoleic acid	γ-linoleic acid 40mg
203903COO	ofloxacin	ofloxacin 3mg
203903COS	ofloxacin	ofloxacin 3mg
203906CLQ	ofloxacin	ofloxacin 3mg
203901ATB	ofloxacin	ofloxacin 100mg
204401ACE	omeprazole	omeprazole 20mg
204401ACE	omeprazole	omeprazole 20mg
204401ATE	omeprazole	omeprazole 20mg
204501BIJ	omeprazole sodium	omeprazole sodium 40mg
204601ATB	ondansetron hydrochloride dihydrate	ondansetron hydrochloride dihydrate 4mg
204603ATB	ondansetron hydrochloride dihydrate	ondansetron hydrochloride dihydrate 8mg
204604BIJ	ondansetron hydrochloride dihydrate	ondansetron hydrochloride dihydrate 4mg
204605BIJ	ondansetron hydrochloride dihydrate	ondansetron hydrochloride dihydrate 8mg
204602BIJ	ondansetron hydrochloride dihydrate	ondansetron hydrochloride dihydrate 24mg
264900ASY	orciprenaline sulfate	orciprenaline sulfate 2mg
265000ATB	orciprenaline sulfate	orciprenaline sulfate 20mg
204903BIJ	ornidazole	ornidazole 500mg
204902BIJ	ornidazole	ornidazole 1g
205001APD	ornithine aspartate	ornithine aspartate 600mg
205202BIJ	orphenadrine citrate	orphenadrine citrate 60mg
205302BIJ	orphenadrine HCl	orphenadrine HCl 40mg
205403ACH	oryzanol	oryzanol 100mg
300200ACS	oryzanol	oryzanol 10mg
205601ATB	ossopan substance	ossopan substance 200mg
205602ATB	ossopan substance	ossopan substance 830mg
206101ATB	oxaprozin	oxaprozin 200mg
268400ACH	oxeladin citrate	oxeladin citrate 10mg
206401CCM	oxiconazole nitrate	oxiconazole nitrate 11.47mg
206401CLQ	oxiconazole nitrate	oxiconazole nitrate 11.47mg
206503ATB	oxiracetam	oxiracetam 800mg
206602ASY	oxolamine citrate	oxolamine citrate 10mg
386001ATB	oxovinca	oxovinca 20mg
207001ATB	oxybutynin chloride	oxybutynin chloride 5mg
359004ATB	oxycodone HCl	oxycodone HCl 5mg
359006ATB	oxycodone HCl	oxycodone HCl 30mg
380500ATB	oxycodone HCl	oxycodone HCl 5mg
440600ACH	oxycodone HCl	oxycodone HCl 5mg
207104COS	oxymetazoline HCl	oxymetazoline HCl 255㎍
207106CLQ	oxymetazoline HCl	oxymetazoline HCl 500㎍
207105CSI	oxymetazoline HCl	oxymetazoline HCl 7.5mg
207502BIJ	oxytocin	oxytocin 5I.U
207501BIJ	oxytocin	oxytocin 10I.U
302800ATB	oyster shell powder	oyster shell powder 650.3mg
302900ATB	oyster shell powder	oyster shell powder 1388.9mg
303000ATB	oyster shell powder	oyster shell powder 657.9mg
208101AGN	p-aminosalicylic calcium	p-aminosalicylic calcium 800mg
208101AGN	p-aminosalicylic calcium	p-aminosalicylic calcium 800mg
207801BIJ	paclitaxel	paclitaxel 30mg
207802BIJ	paclitaxel	paclitaxel 100mg
207803BIJ	paclitaxel	paclitaxel 150mg
295600ACS	pancreatin	pancreatin 150mg
208601BIJ	pancuronium bromide	pancuronium bromide 4mg
209102BIJ	papaverine HCl	papaverine HCl 30mg
209303ATB	paroxetine HCl	paroxetine HCl 30mg
209401ATB	pearlcalc	pearlcalc 150mg
209501ATB	pefloxacin methanesulfonate	pefloxacin methanesulfonate 400mg
209501BIJ	pefloxacin methanesulfonate	pefloxacin methanesulfonate 400mg
209602ATB	pemirolast potassium	pemirolast potassium 5mg
209603ATB	pemirolast potassium	pemirolast potassium 10mg
209801ATB	penbutolol sulfate	penbutolol sulfate 40mg
210002BIJ	penicillin G potassium crystal	penicillin G potassium crystal 20MU
210102BIJ	penicillin G sodium crystal	penicillin G sodium crystal 4MU
210101BIJ	penicillin G sodium crystal	penicillin G sodium crystal 10MU
210502BIJ	pentazocine HCl	pentazocine HCl 30mg
390600BIJ	pentetate	pentetate 9.5mg
390400BIJ	pentetate	pentetate 9.5mg
210801BIJ	pentoxifylline	pentoxifylline 100mg
210901BIJ	peplomycin sulfate	peplomycin sulfate 10mg
211001ACH	peppermint oil	peppermint oil 0.2ml
211301ATB	perindopril tetrabutylamine	perindopril tetrabutylamine 4mg
211402BIJ	perphenazine	perphenazine 3mg
487001ATB	petasites hybridus CO2 extracts	petasites hybridus CO2 extracts 30mg
211501BIJ	pethidine HCl	pethidine HCl 50mg
211601BIJ	pheniramine maleate	pheniramine maleate 45.5mg
251600ATB	phenobarbital	phenobarbital 30mg
211801BIJ	phenobarbital sodium	phenobarbital sodium 100mg
332700COS	phenylepherine HCl	phenylepherine HCl 5mg
211903COS	phenylephrine HCl	phenylephrine HCl 25mg
211902COS	phenylephrine HCl	phenylephrine HCl 100mg
211901BIJ	phenylephrine HCl	phenylephrine HCl 10mg
251600ATB	phenytoin	phenytoin 100mg
212102ALQ	phloroglucinol	phloroglucinol 8mg
212302COS	pilocarpine HCl	pilocarpine HCl 10mg
212303COS	pilocarpine HCl	pilocarpine HCl 20mg
212304COS	pilocarpine HCl	pilocarpine HCl 40mg
423300COS	pilocarpine HCl	pilocarpine HCl 20mg
212501ATB	pinaverium bromide	pinaverium bromide 50mg
212801ATB	pipazethate HCl	pipazethate HCl 20mg
213001ATB	pipemidic acid trihydrate	pipemidic acid trihydrate 200mg
213003ATB	pipemidic acid trihydrate	pipemidic acid trihydrate 400mg
213101BIJ	piperacillin sodium	piperacillin sodium 1g
213102BIJ	piperacillin sodium	piperacillin sodium 2g
213103BIJ	piperacillin sodium	piperacillin sodium 3g
213104BIJ	piperacillin sodium	piperacillin sodium 4g
213301BIJ	piprinhydrinate	piprinhydrinate 3mg
213401ALQ	piracetam	piracetam 200mg
213403ACH	piracetam	piracetam 400mg
213402AGN	piracetam	piracetam 1.2g
213404BIJ	piracetam	piracetam 1g
213406BIJ	piracetam	piracetam 3g
213402BIJ	piracetam	piracetam 12g
213501BIJ	pirarubicin	pirarubicin 10mg
213701ATB	pirenzepine HCl	pirenzepine HCl 25mg
213801ACH	piretanid	piretanid 6mg
213901ATB	piribedil	piribedil 50mg
371901ATB	piridinol carbamate	piridinol carbamate 250mg
214001ACH	piroxicam	piroxicam 10mg
214001ATB	piroxicam	piroxicam 10mg
214004ATB	piroxicam	piroxicam 20mg
214002BIJ	piroxicam	piroxicam 20mg
214003CCM	piroxicam	piroxicam 5mg
214101BIJ	piroxicam potassium	piroxicam potassium 22.3mg
214102BIJ	piroxicam potassium	piroxicam potassium 34.45mg
214702CSP	policresulen	policresulen 90mg
214701CCM	policresulen	policresulen 18mg
214703CLQ	policresulen	policresulen 360mg
456700COS	polymixin B sulfate	polymixin B sulfate 2000I.U
456700COS	polymixin B sulfate	polymixin B sulfate 2000I.U
215005ASY	polysaccharide iron complex	polysaccharide iron complex 43.4mg
215004ASY	polysaccharide iron complex	polysaccharide iron complex 54.35mg
215002ASY	polysaccharide iron complex	polysaccharide iron complex 217mg
215301ATB	polysaccharide-K	polysaccharide-K 500mg
215302AGN	polysaccharide-K	polysaccharide-K 667mg
215303APD	polysaccharide-K	polysaccharide-K 1g
215401APD	polystyrene sulfonate calcium	polystyrene sulfonate calcium 1g
215402ASS	polystyrene sulfonate calcium	polystyrene sulfonate calcium 5g
215701BIJ	pork insulin	pork insulin 1000I.U
400000BIJ	potasium chloride	potasium chloride 74.5mg/500ml
215803BIJ	potassium chloride	potassium chloride 3g/20ml
319600BIJ	potassium chloride	potassium chloride 2.2g/1ℓ
319900BIJ	potassium chloride	potassium chloride 150mg/500ml
414700BIJ	potassium chloride	potassium chloride 300mg/1ℓ
321000BIJ	potassium chloride	potassium chloride 1.491g/20ml
362700BIJ	potassium chloride	potassium chloride 1.491g/30ml
321100BIS	potassium chloride	potassium chloride 52.2g/10ℓ
321200BIS	potassium chloride	potassium chloride 52.2g/10ℓ
321300BIS	potassium chloride	potassium chloride 52.2g/10ℓ
449400BIS	potassium chloride	potassium chloride 670mg/500ml
322600BIS	potassium chloride	potassium chloride 32.5g/5ℓ
322900BIS	potassium chloride	potassium chloride 52.2g/10ℓ
359800BIS	potassium chloride	potassium chloride 745mg/5ℓ
359900BIS	potassium chloride	potassium chloride 1.49g/5ℓ
400700BIS	potassium chloride	potassium chloride 26.1g/5ℓ
373600BIS	potassium chloride	potassium chloride 67.9g/10ℓ
